ticket_id,account_id,subject,category,status,priority,created_at,resolved_at,csat_score
1,224,Hot like level card seat consumer it.,feature_request,resolved,medium,2026-05-17 22:45:35,2026-05-19 01:45:35,5.0
2,164,Performance stand company east board protect bring.,billing,open,low,2026-05-17 22:54:00,,
3,120,Chair wish decision hear size level.,technical,closed,high,2026-05-17 22:48:47,2026-05-18 20:48:47,4.0
4,247,Son second rest.,feature_request,resolved,medium,2026-05-17 22:39:45,2026-05-19 07:39:45,5.0
5,146,Fish story young laugh.,onboarding,resolved,medium,2026-05-17 22:43:31,2026-05-19 23:43:31,5.0
6,30,Hard effect still event lay off.,billing,open,medium,2026-05-17 22:53:30,,
7,87,Resource policy according thing.,onboarding,closed,medium,2026-05-17 23:03:15,2026-05-19 19:03:15,4.0
8,158,Activity indeed from probably.,onboarding,resolved,low,2026-05-17 22:54:59,2026-05-22 05:54:59,5.0
9,306,Class church chair language season.,billing,resolved,low,2026-05-17 22:47:57,2026-05-24 09:47:57,4.0
10,47,Ahead ground develop.,onboarding,resolved,critical,2026-05-17 22:51:40,2026-05-18 04:51:40,2.0
11,50,Safe campaign stuff write successful try.,billing,open,medium,2026-05-17 22:50:45,,
12,475,Door girl laugh age region.,onboarding,open,medium,2026-05-17 22:58:23,,
13,114,Area born long name race himself.,onboarding,resolved,critical,2026-05-17 22:49:50,2026-05-18 03:49:50,3.0
14,253,Nothing evening deal edge call worker game.,feature_request,in_progress,medium,2026-05-17 22:57:22,,
15,475,Answer project fire reason fine.,onboarding,resolved,low,2026-05-17 22:46:16,2026-05-19 03:46:16,3.0
16,217,Late happy treatment us contain.,onboarding,resolved,high,2026-05-17 22:44:21,2026-05-18 16:44:21,5.0
17,21,Probably product join share.,billing,resolved,high,2026-05-17 22:41:25,2026-05-18 06:41:25,5.0
18,280,Better even player.,feature_request,resolved,high,2026-05-17 22:59:26,2026-05-18 00:59:26,2.0
19,342,Serve foreign service forward central product radio.,technical,open,critical,2026-05-17 22:44:12,,
20,30,Record see red family though.,billing,closed,low,2026-05-17 22:48:19,2026-05-22 21:48:19,4.0
21,355,Size already nice different despite street think.,technical,resolved,critical,2026-05-17 23:01:08,2026-05-18 02:01:08,4.0
22,476,Relationship eight century police you represent.,onboarding,resolved,medium,2026-05-17 22:55:43,2026-05-19 12:55:43,4.0
23,127,Answer rather school whole.,technical,resolved,medium,2026-05-17 22:57:45,2026-05-19 13:57:45,5.0
24,69,Tax others material also.,billing,in_progress,medium,2026-05-17 23:01:03,,
25,33,Modern go about finally nor unit.,technical,resolved,medium,2026-05-17 23:01:39,2026-05-19 08:01:39,4.0
26,337,Opportunity management most away beyond still process.,onboarding,resolved,medium,2026-05-17 22:42:37,2026-05-19 04:42:37,5.0
27,51,Network how animal course body good staff address.,onboarding,closed,critical,2026-05-17 22:40:42,2026-05-18 00:40:42,4.0
28,376,Though animal management news series decision.,feature_request,resolved,medium,2026-05-17 22:55:23,2026-05-19 17:55:23,4.0
29,26,Capital attorney small number.,technical,closed,low,2026-05-17 22:58:47,2026-05-24 21:58:47,4.0
30,431,Same together second rather couple avoid thank.,technical,resolved,low,2026-05-17 22:47:03,2026-05-21 14:47:03,2.0
31,483,Art air how or.,billing,resolved,low,2026-05-17 22:55:50,2026-05-23 10:55:50,1.0
32,387,Effort Republican his speech recognize dark.,onboarding,resolved,medium,2026-05-17 22:40:44,2026-05-20 11:40:44,4.0
33,4,Eye statement price into apply box enter outside.,onboarding,open,medium,2026-05-17 22:44:20,,
34,331,Necessary measure piece glass risk woman lawyer.,billing,resolved,low,2026-05-17 22:58:39,2026-05-24 06:58:39,4.0
